#online:true
#name:ANSI(Big5)
#id:big5@big5
#type:bin
#pattern:
#base:
#description:BIG5碼又稱為大五碼，為民國73年所提出的常用電腦漢字集內碼，以2個位元組(byte)編碼，內含13,051個中文字，適用於Windows95／98／ME等以上作業系統及大部分的應用程式。
01-4750	A64F
01-4751	A650
01-4752	A651
01-4753	A652
01-4754	A653
01-4755	A654
01-4756	A655
01-4757	A656
01-4758	A657
01-4759	A658
01-475A	A659
01-475B	A65A
01-475C	A65B
01-475D	A65C
01-475E	A65D
01-475F	A65E
01-4760	A65F
01-4761	A660
01-4762	A661
01-4763	A662
01-4764	A663
01-4765	A664
01-4766	A665
01-4767	A666
01-4768	A667
01-4769	A668
01-476A	A669
01-476B	A66A
01-476C	A66B
01-476D	A66C
01-476E	A66D
01-476F	A66E
01-4770	A66F
01-4771	A670
01-4772	A671
01-4773	A672
01-4774	A673
01-4775	A674
01-4776	A675
01-4777	A676
01-4778	A677
01-4779	A678
01-477A	A679
01-477B	A67A
01-477C	A67B
01-477D	A67C
01-477E	A67D
01-4821	A67E
01-4822	A6A1
01-4823	A6A2
01-4824	A6A3
01-4825	A6A4
01-4826	A6A5
01-4827	A6A6
01-4828	A6A7
01-4829	A6A8
01-482A	A6A9
01-482B	A6AA
01-482C	A6AB
01-482D	A6AC
01-482E	A6AD
01-482F	A6AE
01-4830	A6AF
01-4831	A6B0
01-4832	A6B1
01-4833	A6B2
01-4834	A6B3
01-4835	A6B4
01-4836	A6B5
01-4837	A6B6
01-4838	A6B7
01-4839	A6B8
01-483A	A6B9
01-483B	A6BA
01-483C	A6BB
01-483D	A6BC
01-483E	A6BD
01-483F	A6BE
01-4840	A6BF
01-4841	A6C0
01-4842	A6C1
01-4843	A6C2
01-4844	A6C3
01-4845	A6C4
01-4846	A6C5
01-4847	A6C6
01-4848	A6C7
01-4849	A6C8
01-484A	A6C9
01-484B	A6CA
01-484C	A6CB
01-484D	A6CC
01-484E	A6CD
01-484F	A6CE
01-4850	A6CF
01-4851	A6D0
01-4852	A6D1
01-4853	A6D2
01-4854	A6D3
01-4855	A6D4
01-4856	A6D5
01-4857	A6D6
01-4858	A6D7
01-4859	A6D8
01-485A	A6D9
01-485B	A6DA
01-485C	A6DB
01-485D	A6DC
01-485E	A6DD
01-485F	A6DE
01-4860	A6DF
01-4861	A6E0
01-4862	A6E1
01-4863	A6E2
01-4864	A6E3
01-4865	A6E4
01-4866	A6E5
01-4867	A6E6
01-4868	A6E7
01-4869	A6E8
01-486A	A6E9
01-486B	A6EA
01-486C	A6EB
01-486D	A6EC
01-486E	A6ED
01-486F	A6EE
01-4870	A6EF
01-4871	A6F0
01-4872	A6F1
01-4873	A6F2
01-4874	A6F3
01-4875	A6F4
01-4876	A6F5
01-4877	A6F6
01-4878	A6F7
01-4879	A6F8
01-487A	A6F9
01-487B	A6FA
01-487C	A6FB
01-487D	A6FC
01-487E	A6FD
01-4921	A6FE
01-4922	A740
01-4923	A741
01-4924	A742
01-4925	A743
01-4926	A744
01-4927	A745
01-4928	A746
01-4929	A747
01-492A	A748
01-492B	A749
01-492C	A74A
01-492D	A74B
01-492E	A74C
01-492F	A74D
01-4930	A74E
01-4931	A74F
01-4932	A750
01-4933	A751
01-4934	A752
01-4935	A753
01-4936	A754
01-4937	A755
01-4938	A756
01-4939	A757
01-493A	A758
01-493B	A759
01-493C	A75A
01-493D	A75B
01-493E	A75C
01-493F	A75D
01-4940	A75E
01-4941	A75F
01-4942	A760
01-4943	A761
01-4944	A762
01-4945	A763
01-4946	A764
01-4947	A765
01-4948	A766
01-4949	A767
01-494A	A768
01-494B	A769
01-494C	A76A
01-494D	A76B
01-494E	A76C
01-494F	A76D
01-4950	A76E
01-4951	A76F
01-4952	A770
01-4953	A771
01-4954	A772
01-4955	A773
01-4956	A774
01-4957	A775
01-4958	A776
01-4959	A777
01-495A	A778
01-495B	A779
01-495C	A77A
01-495D	A77B
01-495E	A77C
01-495F	A77D
01-4960	A77E
01-4961	A7A1
01-4962	A7A2
01-4963	A7A3
01-4964	A7A4
01-4965	A7A5
01-4966	A7A6
01-4967	A7A7
01-4968	A7A8
01-4969	A7A9
01-496A	A7AA
01-496B	A7AB
01-496C	A7AC
01-496D	A7AD
01-496E	A7AE
01-496F	A7AF
01-4970	A7B0
01-4971	A7B1
01-4972	A7B2
01-4973	A7B3
01-4974	A7B4
01-4975	A7B5
01-4976	A7B6
01-4977	A7B7
01-4978	A7B8
01-4979	A7B9
01-497A	A7BA
01-497B	A7BB
01-497C	A7BC
01-497D	A7BD
01-497E	A7BE
01-4A21	A7BF
01-4A22	A7C0
01-4A23	A7C1
01-4A24	A7C2
01-4A25	A7C3
01-4A26	A7C4
01-4A27	A7C5
01-4A28	A7C6
01-4A29	A7C7
01-4A2A	A7C8
01-4A2B	A7C9
01-4A2C	A7CA
01-4A2D	A7CB
01-4A2E	A7CC
01-4A2F	A7CD
01-4A30	A7CE
01-4A31	A7CF
01-4A32	A7D0
01-4A33	A7D1
01-4A34	A7D2
01-4A35	A7D3
01-4A36	A7D4
01-4A37	A7D5
01-4A38	A7D6
01-4A39	A7D7
01-4A3A	A7D8
01-4A3B	A7D9
01-4A3C	A7DA
01-4A3D	A7DB
01-4A3E	A7DC
01-4A3F	A7DD
01-4A40	A7DE
01-4A41	A7DF
01-4A42	A7E0
01-4A43	A7E1
01-4A44	A7E2
01-4A45	A7E3
01-4A46	A7E4
01-4A47	A7E5
01-4A48	A7E6
01-4A49	A7E7
01-4A4A	A7E8
01-4A4B	A7E9
01-4A4C	A7EA
01-4A4D	A7EB
01-4A4E	A7EC
01-4A4F	A7ED
01-4A50	A7EE
01-4A51	A7EF
01-4A52	A7F0
01-4A53	A7F1
01-4A54	A7F2
01-4A55	A7F3
01-4A56	A7F4
01-4A57	A7F5
01-4A58	A7F6
01-4A59	A7F7
01-4A5A	A7F8
01-4A5B	A7F9
01-4A5C	A7FA
01-4A5D	A7FB
01-4A5E	A7FC
01-4A5F	A7FD
01-4A60	A7FE
01-4A61	A840
01-4A62	A841
01-4A63	A842
01-4A64	A843
01-4A65	A844
01-4A66	A845
01-4A67	A846
01-4A68	A847
01-4A69	A848
01-4A6A	A849
01-4A6B	A84A
01-4A6C	A84B
01-4A6D	A84C
01-4A6E	A84D
01-4A6F	A84E
01-4A70	A84F
01-4A71	A850
01-4A72	A851
01-4A73	A852
01-4A74	A853
01-4A75	A854
01-4A76	A855
01-4A77	A856
01-4A78	A857
01-4A79	A858
01-4A7A	A859
01-4A7B	A85A
01-4A7C	A85B
01-4A7D	A85C
01-4A7E	A85D
01-4B21	A85E
01-4B22	A85F
01-4B23	A860
01-4B24	A861
01-4B25	A862
01-4B26	A863
